Section;Question;Since
Equipment;We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...);2017-2018
Equipment;Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting;2017-2018
Equipment;Lab equipment was well mantained/modern;2017-2018
Length and schedule;The course is too long;2017-2018
Length and schedule;The period allocated for the course within the term is appropriate;2017-2018
Length and schedule;On average, the number of hours per day is sufficient;2017-2018
General Methodology;Student engagement;2017-2018
General Methodology;Course interest;2017-2018
General Methodology;Course usefulness;2017-2018
General Methodology;Demand on student's part;2017-2018
General Methodology;Course difficulty;2017-2018
Method objectives;State a hypothesis;2017-2018
Method objectives;Design an experimental strategy to answer specific biological questions;2017-2018
Method objectives;Identify cost-effective (time and money-wise) practical techniques to answer a given question;2017-2018
Method objectives;Write an experimental protocol including all relevant controls;2017-2018
Method objectives;Execute an experimental protocol;2017-2018
Method objectives;Record, analyze and interpret experimental results;2017-2018
Method objectives;Integrate information from other researchers and discuss your results within a larger context;2017-2018
Method objectives;Follow lab safety rules;2017-2018
Method objectives;Ability to work in a team;2017-2018
Activities interest;Introductory lecture (day 1);2017-2018
Activities interest;Stats Intro (day 2);2017-2018
Activities interest;Initial brainstorming session (day 2);2017-2018
Activities interest;Group meetings (experiment planning and design);2017-2018
Activities interest;Team feed-back session (propossal design);2017-2018
Activities interest;Final group discussion session (day before the last);2017-2018
Activities interest;Final class discussion session (last day);2017-2018
Activities Length;Introductory lecture (day 1);2017-2018
Activities Length;Stats Intro (day 2);2017-2018
Activities Length;Initial brainstorming session (day 2);2017-2018
Activities Length;Group meetings (experiment planning and design);2017-2018
Activities Length;Team feed-back sessions;2017-2018
Activities Length;Final group discussion session (day before the last);2017-2018
Activities Length;Final class discussion session (last day);2017-2018
Assesment;Safety and clean-up weekly evaluation;2017-2018
Assesment;Individual lab notebook evaluation (design);2017-2018
Assesment;Group lab notebook evaluation (design);2017-2018
Assesment;Group lab notebook evaluation (results);2017-2018
Assesment;Peer-evaluation (Team);2017-2018
Assesment;Final exam;2017-2018
Learning Objectives;State a hypothesis;2017-2018
Learning Objectives;Design an experimental strategy to answer specific biological questions;2017-2018
Learning Objectives;Identify cost-effective (time and money-wise) practical techniques to answer a given question;2017-2018
Learning Objectives;Write an experimental protocol including all relevant controls;2017-2018
Learning Objectives;Execute an experimental protocol;2017-2018
Learning Objectives;Record, analyze and interpret experimental results;2017-2018
Learning Objectives;Integrate information from other researchers and discuss your results within a larger context;2017-2018
Learning Objectives;Follow lab safety rules;2017-2018
Learning Objectives;Ability to work in a team;2017-2018
Open;Best ;2017-2018
Open;Wors;2017-2018
Open;Open comments;2019-2020
ELN;I knew OneNote before the course.;2019-2020
ELN;I find OneNote a useful app for the elaboration of the course Notebook.;2019-2020
ELN;I think we had enough previous information about the use of OneNote for the course laboratory notebook.;2019-2020
ELN;I would prefer other applications like Evernote, Google Docs, or MS Word.;2019-2020
ELN;The structure of the Notebook in Sections, Pages, and Subpages was easy to understand and use.;2019-2020
ELN;I would recommend to use OneNote for the ELN next year.;2019-2020
ELN;It overall allowed us to save time through the whole course.;2019-2020
ELN;It helped us in the preparation of the final version to be presented.;2019-2020
ELN;It made it easier working in groups.;2019-2020
ELN;It could be useful for other practical courses.;2019-2020
ELN;Synchronization issues hindered our teamworking.;2019-2020
ELN;Conflicts of versions were very frequent.;2019-2020
ELN;Access to the ELN was slow.;2019-2020
ELN;We missed several wordprocessing features.;2019-2020
ELN;Some features of the application did not work properly.;2019-2020
ELN;The template helped us to prepare the final version of the notebook.;2019-2020
ELN;The structure of the template matches the evaluation rubric.;2019-2020
ELN;The structure of 4 independent notes helped to understand each step of the work in a research lab.;2019-2020
ELN;The word limit in some sections of the template is appropriate (1;2019-2020
ELN;We had to modify some sections of the template to suit our experimental work.;2019-2020
ELN;The template will facilitate an even evaluation.;2019-2020
ELN;The use of an ELN with OneNote in this course will help us in future laboratory work (TFG, TFM, etc.).;2019-2020
Open;Open comments ELN;2021-2022
Open;Positive aspects about the project desing teams session;2021-2022
Open;Negative aspects about the project desing teams session;2021-2022
