"No.","Since","Section","Question","Type"
"1","2017-2018","Equipment","We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...)","Pos."
"2","2017-2018","Equipment","Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting","Pos."
"3","2017-2018","Equipment","Lab equipment was well mantained/modern","Pos."
"4","2017-2018","Length and schedule","The course is too long","Neg."
"5","2017-2018","Length and schedule","The period allocated for the course within the term is appropriate","Pos."
"6","2017-2018","Length and schedule","On average, the number of hours per day is sufficient","Pos."
"7","2017-2018","General Methodology","Student engagement","Pos."
"8","2017-2018","General Methodology","Course interest","Pos."
"9","2017-2018","General Methodology","Course usefulness","Pos."
"10","2017-2018","General Methodology","Demand on student's part","Neg."
"11","2017-2018","General Methodology","Course difficulty","Pos."
"12","2017-2018","Method objectives","State a hypothesis","Pos."
"13","2017-2018","Method objectives","Design an experimental strategy to answer specific biological questions","Pos."
"14","2017-2018","Method objectives","Identify cost-effective (time and money-wise) practical techniques to answer a given question","Pos."
"15","2017-2018","Method objectives","Write an experimental protocol including all relevant controls","Pos."
"16","2017-2018","Method objectives","Execute an experimental protocol","Pos."
"17","2017-2018","Method objectives","Record, analyze and interpret experimental results","Pos."
"18","2017-2018","Method objectives","Integrate information from other researchers and discuss your results within a larger context","Pos."
"19","2017-2018","Method objectives","Follow lab safety rules","Pos."
"20","2017-2018","Method objectives","Ability to work in a team","Pos."
"21","2017-2018","Activities interest","Introductory lecture (day 1)","Pos."
"22","2017-2018","Activities interest","Stats Intro (day 2)","Pos."
"23","2017-2018","Activities interest","Initial brainstorming session (day 2)","Pos."
"24","2017-2018","Activities interest","Group meetings (experiment planning and design)","Pos."
"25","2017-2018","Activities interest","Team feed-back session (propossal design)","Pos."
"26","2017-2018","Activities interest","Final group discussion session (day before the last)","Pos."
"27","2017-2018","Activities interest","Final class discussion session (last day)","Pos."
"28","2017-2018","Activities Length","Introductory lecture (day 1)","Pos."
"29","2017-2018","Activities Length","Stats Intro (day 2)","Pos."
"30","2017-2018","Activities Length","Initial brainstorming session (day 2)","Pos."
"31","2017-2018","Activities Length","Group meetings (experiment planning and design)","Pos."
"32","2017-2018","Activities Length","Team feed-back sessions","Pos."
"33","2017-2018","Activities Length","Final group discussion session (day before the last)","Pos."
"34","2017-2018","Activities Length","Final class discussion session (last day)","Pos."
"35","2017-2018","Assesment","Safety and clean-up weekly evaluation","Pos."
"36","2017-2018","Assesment","Individual lab notebook evaluation (design)","Pos."
"37","2017-2018","Assesment","Group lab notebook evaluation (design)","Pos."
"38","2017-2018","Assesment","Group lab notebook evaluation (results)","Pos."
"39","2017-2018","Assesment","Peer-evaluation (Team)","Pos."
"40","2017-2018","Assesment","Final exam","Pos."
"41","2017-2018","Learning Objectives","State a hypothesis","Pos."
"42","2017-2018","Learning Objectives","Design an experimental strategy to answer specific biological questions","Pos."
"43","2017-2018","Learning Objectives","Identify cost-effective (time and money-wise) practical techniques to answer a given question","Pos."
"44","2017-2018","Learning Objectives","Write an experimental protocol including all relevant controls","Pos."
"45","2017-2018","Learning Objectives","Execute an experimental protocol","Pos."
"46","2017-2018","Learning Objectives","Record, analyze and interpret experimental results","Pos."
"47","2017-2018","Learning Objectives","Integrate information from other researchers and discuss your results within a larger context","Pos."
"48","2017-2018","Learning Objectives","Follow lab safety rules","Pos."
"49","2017-2018","Learning Objectives","Ability to work in a team","Pos."
"50","2017-2018","Open","Best ","NA"
"51","2017-2018","Open","Worse","NA"
"52","2019-2020","Open","Open comments","NA"
"53","2019-2020","ELN","I knew OneNote before the course.","Pos."
"54","2019-2020","ELN","I find OneNote a useful app for the elaboration of the course Notebook.","Pos."
"55","2019-2020","ELN","I think we had enough previous information about the use of OneNote for the course laboratory notebook.","Pos."
"56","2019-2020","ELN","I would prefer other applications like Evernote, Google Docs, or MS Word.","Neg."
"57","2019-2020","ELN","The structure of the Notebook in Sections, Pages, and Subpages was easy to understand and use.","Pos."
"58","2019-2020","ELN","I would recommend to use OneNote for the ELN next year.","Pos."
"59","2019-2020","ELN","It overall allowed us to save time through the whole course.","Pos."
"60","2019-2020","ELN","It helped us in the preparation of the final version to be presented.","Pos."
"61","2019-2020","ELN","It made it easier working in groups.","Pos."
"62","2019-2020","ELN","It could be useful for other practical courses.","Pos."
"63","2019-2020","ELN","Synchronization issues hindered our teamworking.","Neg."
"64","2019-2020","ELN","Conflicts of versions were very frequent.","Neg."
"65","2019-2020","ELN","Access to the ELN was slow.","Neg."
"66","2019-2020","ELN","We missed several wordprocessing features.","Neg."
"67","2019-2020","ELN","Some features of the application did not work properly.","Neg."
"68","2019-2020","ELN","The template helped us to prepare the final version of the notebook.","Pos."
"69","2019-2020","ELN","The structure of the template matches the evaluation rubric.","Pos."
"70","2019-2020","ELN","The structure of 4 independent notes helped to understand each step of the work in a research lab.","Pos."
"71","2019-2020","ELN","The word limit in some sections of the template is appropriate (1","Pos."
"72","2019-2020","ELN","We had to modify some sections of the template to suit our experimental work.","Neg."
"73","2019-2020","ELN","The template will facilitate an even evaluation.","Pos."
"74","2019-2020","ELN","The use of an ELN with OneNote in this course will help us in future laboratory work (TFG, TFM, etc.).","Pos."
"75","2021-2022","Open","Open comments ELN","NA"
"76","2021-2022","Open","Positive aspects about the project desing teams session","NA"
"77","2021-2022","Open","Negative aspects about the project desing teams session","NA"
