Respuesta;Enviado el:;Institución;Departamento;Curso;Grupo;ID;Nombre completo;Nombre de usuario;Q01_Group;Q02_equipment->We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...);Q02_equipment->Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting;Q02_equipment->Lab equipment was well mantained/modern;Q03_Length and schedule->The course is too long;Q03_Length and schedule->The period allocated for the course within the term is appropriate;Q03_Length and schedule->On average, the number of hours per day is sufficient;Q04_General methodology->student engagement;Q04_General methodology->course interest;Q04_General methodology->course usefulness;Q04_General methodology->demand on student's part;Q04_General methodology->course difficulty;Q05_method_objectives->State a hypothesis;Q05_method_objectives->Design an experimental strategy to answer specific biological questions;Q05_method_objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q05_method_objectives->Write an experimental protocol including all relevant controls;Q05_method_objectives->Execute an experimental protocol;Q05_method_objectives->Record, analyze and interpret experimental results;Q05_method_objectives->Integrate information from other researchers and discuss your results within a larger context;Q05_method_objectives->Follow lab safety rules;Q05_method_objectives->Ability to work in a team;Q06_Activities interest->Introductory lecture (day 1);Q06_Activities interest->Biosafety lecture (day 2);Q06_Activities interest->Bioinformatics session (day 2);Q06_Activities interest->Initial brainstorming session (day 2);Q06_Activities interest->Group meetings (experiment planning and design);Q06_Activities interest->Team feed-back sessions;Q06_Activities interest->Final group discussion session (day before the last);Q06_Activities interest->Final class discussion session (last day);Q07_activities length->Introduction (day 1);Q07_activities length->Biosafety lecture (day 2);Q07_activities length->Bioinformatics session (day 2);Q07_activities length->Initial brainstorming (day 2);Q07_activities length->Group meetings (planning and design);Q07_activities length->Individual/team feed-back;Q07_activities length->Final group discussion session (day before the last);Q07_activities length->Final class discussion session (last day);Q08_Assessment Items 1->Safety and clean-up weekly evaluation;Q08_Assessment Items 1->Individual lab notebook evaluation (design);Q08_Assessment Items 1->Group lab notebook evaluation (design);Q08_Assessment Items 1->Group lab notebook evaluation (results);Q08_Assessment Items 1->Peer-evaluation (Team);Q08_Assessment Items 1->Final exam;Q09_Learning Objectives->State a hypothesis;Q09_Learning Objectives->Design an experimental strategy to answer specific biological questions;Q09_Learning Objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q09_Learning Objectives->Write an experimental protocol including all relevant controls;Q09_Learning Objectives->Execute an experimental protocol;Q09_Learning Objectives->Record, analyze and interpret experimental results;Q09_Learning Objectives->Integrate information from other researchers and discuss your results within a larger context;Q09_Learning Objectives->Follow lab safety rules;Q09_Learning Objectives->Ability to work in a team;Q10_Best;Q11_Worst;Q12_final_Open
38887;21/12/2017 12:08:50;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;2 : Metabolism;5;5;5;2;5;5;3;3;3;3;3;5;5;5;5;5;5;5;4;4;4;1;5;4;4;5;5;5;2;1;3;2;2;3;3;3;5;5;5;5;5;4;4;4;3;5;5;5;5;5;5;"Es la primera vez en toda la carrera que una asignatura práctica es práctica de verdad. Felicidades.La entrega de los protocolos en grupo me parece lo más sensato. Hacer entregas individuales en los cursos prácticos de laboratorio trabajando en grupo no tienen ningún sentido.&nbsp;";-;"Más tiempo para preparar las:Final group discussion session (day before the last)&nbsp;opción 1Choice 1 for row 7opción 2Choice 2 for row 7opción 3Choice 3 for row 7Final class discussion session (last day)&nbsp;"
38885;21/12/2017 12:08:24;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;2;5;3;4;5;4;3;3;2;2;2;5;4;4;5;5;5;4;5;5;2;3;2;3;4;3;4;4;2;1;2;1;2;2;2;2;3;3;4;4;4;3;4;4;3;4;4;4;4;5;5;Una visión diferente de las prácticas que llevábamos realizando durante estos 3 años de carrera.;"-la poca organización en cuanto a la repartición de trabajo.&nbsp;-la poca disponibilidad de instrumental dentro del laboratorio ya que condicionaban y limitaban mucho el progreso de los experimentos diseñados.-el poco tiempo que daban para la entrega de protocolos sobre todo para la primera semana.&nbsp;";"-los becarios deben ponerse de acuerdo con respecto a la hora de resolver las dudas pues muchos te decían lo contrario a otro anteriormente.&nbsp;-organizar de antemano los experimentos y ver si realmente es posible llevarlo a cabo en las condiciones del laboratorio, en función del nº de alumnos, el espacio disponible y el tiempo que requiere cada experimento."
38890;21/12/2017 12:09:27;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;2 : Metabolism;4;2;4;1;5;5;3;3;3;3;3;5;5;2;5;3;3;5;3;5;4;3;5;2;5;4;5;5;2;2;3;2;3;2;2;2;4;5;5;5;0;2;4;4;2;5;5;5;5;3;5;Hemos aprendido más que en las prácticas anteriores que se limitaban a seguir un protocolo. Con este modelo de practicas, te implicas más en tu trabajo y aprendes a realizar protocolos y a superar los problemas que surjen;"Algo de más tiempo para realizar los experimentos sin prisas y poder obtener resultados más concluyentesEn cuanto a los materiales, solo había una campana por laboratorio (más de 5 grupos) y debido a esto, tuvimos problemas de horarios y de coordinacion&nbsp;";
38864;21/12/2017 12:02:12;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;3;3;4;1;5;5;3;3;3;3;3;5;4;3;5;5;5;3;5;5;1;2;5;2;3;3;4;4;1;1;3;2;2;2;2;2;3;3;3;0;3;0;4;5;5;5;5;4;3;5;5;;;
38893;21/12/2017 12:10:26;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;4;5;2;1;5;4;3;3;3;3;2;5;5;3;5;5;4;5;3;5;5;5;5;5;5;5;5;5;1;2;3;2;2;2;2;2;5;3;5;5;5;3;5;4;4;4;5;4;4;5;5;"Este planteamiento distinto es una buena idea ya que permite que los estudiantes se involucren más en el experimento, se interesen por él y busquen información adicional. Además el que cada grupo realice experimentos distintos permite que las puestas en común de información sean más enriquecedoras y permitan estudiar varios puntos de vista de un mismo problema, cosa que al hacer todos un mismo experimento no se puede hacer.&nbsp;&nbsp;";"Al ser el primer curso en el que se realiza este planteamiento, se ha notado un ligero descontrol a la hora de organizar las actividades, a veces los profesores no se ponían de acuerdo y recibimos informaciones diferentes. También nos habría gustado poder realizar el segundo experimento entero y poder tener más libertad&nbsp; a la hora de elegir cuándo hacer cad experimento porque con el primero al final nos tuvimos que ceñir a los horarios proporcionados por los profesores y los días indicados por ellos.&nbsp;";
38875;21/12/2017 12:05:45;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;3;5;2;5;5;1;1;1;1;2;2;3;3;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;;;
38886;21/12/2017 12:08:33;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;2;1;4;3;5;1;3;3;3;3;3;5;5;5;5;4;5;5;3;5;5;3;5;5;5;5;5;5;1;1;2;2;3;3;3;2;3;2;5;5;5;3;4;4;5;4;5;5;5;4;5;"Aprendizaje sobre bioinformática, más independencia en el laboratorio, capacidad de toma de decisiones, capacidad de organización.&nbsp;";El material es insuficiente, especialmente las cabinas de flujo laminar, los estudiantes predoc de apoyo estaban perdidos, al principio no hubo mucha coordinación entre los profesores.;Lo fundamental para mí es que haya coordinación desde el primer momento de los profesores. Los alumnos llegamos al laboratorio bastante perdidos, y al principio deberían guiar más a los grupos y actuar de forma más coordinada.
38916;21/12/2017 12:16:01;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;2;3;3;3;4;3;2;3;3;3;3;4;5;4;5;3;5;5;3;4;3;1;5;4;5;3;5;4;2;1;3;2;2;3;3;2;2;3;5;5;3;1;3;4;3;5;3;5;5;2;3;Pensar por nosotros mismos los experimentos que queríamos realizar para resolver el problemaTener que interpretar todos los resultados obliga realmente a entender la técnica que has hechoElaborar los informes de manera grupal;Tener que elaborar informes individuales de algo que estás trabajando grupalmenteEn nuestro caso concreto, recibimos bastante poco feedback por parte de los profesores acerca de los guiones que íbamos elaborandoA veces había bastante poca coordinación entre profesores sobre cómo íbamos a proceder;Muchas gracias por tener en cuenta las quejas de años anteriores y elaborar este nuevo modelo de prácticas de laboratorio, me ha gustado mucho mas que los modelos de años anteriores.
38908;21/12/2017 12:12:44;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;2;2;2;2;3;4;3;3;3;3;2;5;5;5;5;4;4;4;4;5;3;3;4;4;4;4;4;4;1;2;3;3;3;3;3;3;3;5;4;4;4;2;5;4;4;4;4;4;4;5;5;"He aprendido a plantear hipótesis, a hacer protocolos, a razonar y pensar por mí misma lo creo creo que se debería hacer. He aprendido a trabajar en equipo y a repartirnos las tareas, a compartir la responsabilidad entre todos.&nbsp;He aprendido a usar herramientas bioinformaticas, a interpretar gráficas y a elaborar figuras claras.&nbsp;En general lo que más valoro es la oportunidad que se nos ha dado para ser más autónomos y para razonar.&nbsp;";"La organización en ocasiones no ha sido adecuada, ya que algunos días teníamos muchos experimentos que hacer, mientras que otros no.&nbsp;En cuanto al material, a veces faltaban pipetas y puntas, y teníamos que compartir muchas cosas.&nbsp;También el hecho de trabajar por tríos hace que no todos los integrantes participen por igual, ya que algunos hacen unos experimentos y otros no.&nbsp;En las primeras sesiones creo que es necesario explicar con un modelo como se formula una hipótesis, y como se elabora un protocolo, ya que nunca lo habíamos hecho antes.&nbsp;También creo que debería haber más implicación por parte de los profesores en algunas ocasiones, y un consenso entre ellos ya que a veces nos daban soluciones contradictorias&nbsp;";
38882;21/12/2017 12:07:43;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;2;4;1;3;5;2;3;3;2;2;2;3;4;1;3;4;3;4;3;3;2;1;3;3;4;5;4;5;1;1;2;2;3;3;2;2;2;3;3;5;0;2;4;4;1;3;4;4;4;4;5;Se realiza un proyecto como si estuvieras en el laboratorioLa ayuda de Ana Rojo ha sido muy buena;El material es insuficiente y anticuado;Necesitaríamos material suficiente para todos los alumnos para poder realizar medianamente bien los experimentos
38870;21/12/2017 12:04:20;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;3;3;3;2;5;4;3;2;2;1;1;4;2;4;5;3;3;3;3;3;4;1;1;2;3;3;3;4;1;1;1;1;1;3;2;2;1;1;3;3;3;1;4;3;4;4;3;3;3;2;3;Aprender a trabajar con diferentes organismos modelo;Descoordinación entre grupos y diferentes requerimientos de entregas. Falta de claridad al principio en la explicacion de cómo serán las practicas.;
38906;21/12/2017 12:12:43;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;3;4;3;1;5;4;3;3;3;2;2;5;4;3;5;3;3;5;3;5;4;3;5;5;4;5;4;4;1;2;2;2;2;3;1;2;2;3;5;5;3;0;5;4;2;2;4;4;5;3;5;"Prefiero totalmente la aproximación de pregunta abierta. Su beneficio fundamental es que implica mucho más a los alumnos, los motiva más y por lo tanto aumenta el conocimiento obtenido. Al sentir el experimento como personal, uno está más implicado. Creo que también se enfatiza la capacidad de analizar qué controles son necesarios, aunque en mi grupo no se hizo suficiente énfasis en eso.&nbsp;Está muy bien que nos dieran una lista tan buena de protocolos generales.&nbsp;";"En mi grupo, no se hizo mucho énfasis en los controles necesarios y creo que es uno de los puntos fundamentales que el modelo de pregunta abierta ayuda a enfatizar.&nbsp;En el día de puesta en común en el propio laboratorio, se necesita algo más de organización para evitar información redundante.Otro punto es que en el grupo de bioquímica, a pesar de tener nosotras diseñados los experimentos, al final fueron los profesores los que lo repartieron. Por lo tanto, en realidad el experimento no era el que habíamos diseñado ni similar, sino totalmente ideado por los profesores. Lo único que lo diferenció del formato de pregunta cerrada, es que teníamos que adaptar los protocolos. Por ello, propongo que aunque nuestros experimentos no sean los ideales, solo nos dirijan a lo posible, en vez de directamente darnos el diseño ellos.&nbsp;";
38910;21/12/2017 12:12:53;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;2;2;4;1;5;3;2;3;3;3;2;5;5;4;5;3;3;4;3;4;3;2;4;5;5;3;5;5;2;1;3;2;2;3;2;2;0;4;5;5;2;3;4;4;4;5;5;4;4;5;3;"Cambio radical de planteamiento de las prácticas tradicionales que permite acercarse más a la realidad de un laboratorio y que exige una capacidad de pensamiento mayor.Profesores comprometidos e implicados, así como los ""ayudantes"".&nbsp;";No elección de grupo de trabajo que puede dificultar el desarrollo de las prácticas.Por ser el primer año ha habido falta de información los primeros días que han puesto trabas al trabajo individual por desconocimiento de los objetivos reales de los protocolos. Falta de feedback de los profesores al principio.;Dar unas ideas mucho más claras acerca de cómo se debe escribir el protocolo y qué es lo que se va a evaluar en la clase de introducción. Facilitaría mucho más el trabajo desde el primer día.Buen trabajo en general, gracias!
38918;21/12/2017 12:17:51;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;2 : Metabolism;3;4;2;2;5;4;3;3;2;3;2;4;4;3;4;5;4;4;2;4;3;2;4;4;4;3;5;4;2;2;3;3;2;3;3;3;4;4;4;3;4;3;4;4;3;4;4;3;3;2;4;"-El dar la suficiente libertad para dejarnos fallar a nosotros mismos sobre lo que habíamos planteado e intentar dar explicación a ello.-Familiarizarnos con muchas&nbsp; técnicas de laboratorio (PCR-Q, retro-PCR, Western-Blot...)&nbsp;";;
38917;21/12/2017 12:17:41;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;4;5;4;1;5;4;3;2;3;3;3;5;5;3;5;3;3;4;3;3;2;3;5;3;4;4;5;3;2;2;2;3;3;2;2;2;3;3;4;0;0;0;5;5;1;4;5;4;4;4;3;"Permitir una participación mayor de los alumnos, y hacer que las prácticas sean más parecidas a la investigación real en los laboratorios, y no tanto seguir una ""receta"" que ya nos dan.&nbsp;";"La organización en general (aunque entiendo que es difícil porque era el primer año).&nbsp;El caos a la hora de saber qué entregar y cuando.&nbsp;";
38873;21/12/2017 12:05:22;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;3;2;3;1;4;5;3;3;3;2;3;5;5;3;5;3;5;5;3;5;4;2;5;3;4;4;5;5;2;1;3;2;3;2;2;2;3;1;5;5;5;1;3;4;3;5;4;4;3;4;4;"poder pensar tu experimento y saber realemtne lo que estas haciendo y lo que peudes hacer y lo que no en el lab por ti mismo&nbsp; siendo de gran ayuda de cara el TFG. Conocer el uso programs de bioinformatica que se usan de forma rela y constante en el trabajo real que no sole mos tocar en el grado ademas de la forma en la que se debe presentar.";Falta de equipamiento o equipmiento anticuado que dificulta obtner resultados. La falta de tiempo para llegar a saber realmente y en profundidad que afecta a nuestros experimentos cuano no salen. La necesida de mas coordinacion y conocimeinto por parte de los becarios y la totalidad de los profesores de que estamos realizando en cada experimento.;
38884;21/12/2017 12:08:21;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;5 : Flies;3;2;3;1;5;2;3;3;3;3;3;5;5;5;5;5;5;5;4;5;3;3;3;5;5;5;5;3;1;1;1;2;2;2;3;2;3;4;4;4;2;3;5;4;3;3;3;5;4;4;5;"Han sido las prácticas más útiles de lo que llevamos del grado. Creo que la estrategia seguida para estas prácticas ha sido muy buena, nos ha permitido entender por y para qué hacemos bien las cosas, así como interpretar todo tipo de resultados. La ayuda de los profesores ha sido excelente (Juan en mi caso), guiándonos pero permitiendo que nosotros mismos lleguemos a las conclusiones.&nbsp;";Faltan cubetas de geles de agarosa y mejor organización del tiempo;
38907;21/12/2017 12:12:44;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;3 : Transcription;3;2;5;1;3;1;3;3;3;3;3;4;5;5;5;3;5;5;5;5;5;2;5;4;5;5;5;5;1;1;2;2;2;3;3;3;1;3;5;5;5;1;4;4;3;4;3;4;4;3;5;- Permite tener iniciativa para abordar preguntas de una forma u otra- Permite pensar sobre las conclusiones y planteamientos mejores de los experimentos, cosa que no ocurre con las prácticas programadas porque ya partes de unos experimentos predeterminados y que deben salir correctamente;- Mayor información sobre qué entregar cada día y qué será evaluable en cada caso- Mayor feedback durante las prácticas y no una vez ya avanzados los experimentos;
38903;21/12/2017 12:12:15;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;2;4;2;3;5;1;3;3;3;3;3;5;3;4;5;4;4;5;3;3;3;3;5;5;5;5;5;5;2;1;2;2;2;3;2;2;2;4;5;5;4;3;4;4;3;5;5;5;5;5;5;Aprendes a pensar el experimento por ti mismo y a entenderlo y no solo a seguir el protocolo;"Al ser algo que no hemos hecho nunca creo que, sobre todo al principio, se nos debería ayudar algo más en el laboratorio, especialmente al elaborar el primer protocolo. Especialmente pedirnos entregar un protocolo el primer día de prácticas sin haber hecho ni que nadie nos haya explicado nunca cómo hacerlo me pareció dificil y lioso en lugar de educativo.&nbsp;Además en ocasiones la organización de las prácticas nos ha llevado a perdernos puesto que cada profesor nos decía una cosa diferente y no teníamos claro qué se evaluaba.";Como sugerencia yo añadiría una clase corta de cómo hacer un protocolo antes de pedirnos uno a nosotros, porque al seguir las indicaciones de moodle y después corregirlo había muchas cosas que estaban mal.Por otra parte creo que la ayuda de las becarias y becarios es esencial para estas prácticas puesto que yo considero que sin su ayuda no hubiera conseguido entender muchas cosas ya que los profesores están más ocupados y no pueden prestarnos tanta atención y tan individual.
38896;21/12/2017 12:10:41;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;2 : Metabolism;3;3;4;1;2;1;3;3;3;3;2;5;5;3;5;5;5;5;5;5;2;2;4;3;5;5;5;5;2;1;2;2;2;2;2;2;4;4;5;5;5;2;4;4;4;4;4;4;4;3;5;Aprender a pensar por nosotros mismos en un laboratorio.Aprender a enfrentarnos a un problema, plantear una hipótesis, plantear los posibles resultados y los posibles errores que han impedido su correcta realización.Trabajo en equipo que nos aportaba un feedback continuo tanto dentro de nuestro grupo como con el resto de grupos;Cantidad de horas en el laboratorio de prácticas.;Me parece una gran idea la de realizar esta asignatura de esta manera, hasta este momento siempre era seguir un protocolo establecido y no pensar por nosotros mismos una hipótesis y unos posibles experimentos, me parece que está es la forma en la que hay que enfocar las experimentales debido a que aprendemos a desenvolvernos por nosotros mismos en un laboratorio.
38904;21/12/2017 12:12:21;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;1 : Biochemistry;3;2;3;2;5;4;3;3;3;3;2;5;5;4;4;4;4;5;4;5;5;4;5;5;4;2;5;5;2;2;3;2;2;3;2;2;4;4;4;4;0;0;4;4;3;4;4;4;3;5;4;-Aprender a trabajar en equipo-Tener iniciativa a la hora de diseñar protocolos y pensamiento crítico de los escritos antes de llevarlos a cabo.-Usar herramientas bioinformáticas-Interpretación de resultados;-La organización de los días, puesto que había tiempos muertos.;Muchas gracias por llevar a cabo esta nueva iniciativa de la asignatura de Bioquímica Experimental Avanzada I. Motiva a los y las estudiantes a desarrollar todo lo aprendido en las clases teóricas por si mismos, así como a valorar el trabajo de semanas en el laboratorio. Sin dudarlo, esta nueva propuesta debería seguir en años posteriores.
38863;21/12/2017 12:01:36;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I _metagrupo;;;Anónimo;;4 : Yeast;2;4;2;4;5;2;2;3;3;2;2;3;3;4;4;4;4;4;5;5;2;1;4;1;1;1;1;5;1;3;2;3;3;3;3;3;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;;La organización de la asignatura ha sido pauperrima en cuanto a la evaluación. Nadie sabía qué había que entregar, qué aspectos iban a ser evaluados, cómo iban a ser evaluados...;
