Q01_Group;Q02_equipment->We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...);Q02_equipment->Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting;Q02_equipment->Lab equipment was well mantained/modern;Q03_Length and schedule->The course is too long;Q03_Length and schedule->The period allocated for the course within the term is appropriate;Q03_Length and schedule->On average, the number of hours per day is sufficient;Q04_General methodology->student engagement;Q04_General methodology->course interest;Q04_General methodology->course usefulness;Q04_General methodology->demand on student's part;Q04_General methodology->course difficulty;Q05_method_objectives->State a hypothesis;Q05_method_objectives->Design an experimental strategy to answer specific biological questions;Q05_method_objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q05_method_objectives->Write an experimental protocol including all relevant controls;Q05_method_objectives->Execute an experimental protocol;Q05_method_objectives->Record, analyze and interpret experimental results;Q05_method_objectives->Integrate information from other researchers and discuss your results within a larger context;Q05_method_objectives->Follow lab safety rules;Q05_method_objectives->Ability to work in a team;Q06_Activities interest->Introductory lecture (day 1);Q06_Activities interest->Stats Intro (day 2);Q06_Activities interest->Initial brainstorming session (day 2);Q06_Activities interest->Group meetings (experiment planning and design);Q06_Activities interest->Team feed-back sessions;Q06_Activities interest->Final group discussion session (day before the last);Q06_Activities interest->Final class discussion session (last day);Q07_activities length->Introductory lecture (day 1);Q07_activities length->Stats Intro (day 2);Q07_activities length->Initial brainstorming session (day 2);Q07_activities length->Group meetings (experiment planning and design);Q07_activities length->Team feed-back sessions;Q07_activities length->Final group discussion session (day before the last);Q07_activities length->Final class discussion session (last day);Q08_Assessment Items 1->Safety and clean-up weekly evaluation;Q08_Assessment Items 1->Individual lab notebook evaluation (design);Q08_Assessment Items 1->Group lab notebook evaluation (design);Q08_Assessment Items 1->Group lab notebook evaluation (results);Q08_Assessment Items 1->Peer-evaluation (Team);Q08_Assessment Items 1->Final exam;Q09_Learning Objectives->State a hypothesis;Q09_Learning Objectives->Design an experimental strategy to answer specific biological questions;Q09_Learning Objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q09_Learning Objectives->Write an experimental protocol including all relevant controls;Q09_Learning Objectives->Execute an experimental protocol;Q09_Learning Objectives->Record, analyze and interpret experimental results;Q09_Learning Objectives->Integrate information from other researchers and discuss your results within a larger context;Q09_Learning Objectives->Follow lab safety rules;Q09_Learning Objectives->Ability to work in a team;Q10_Best;Q11_Worst;Q12_final_Open
5 : Flies;5;5;5;1;3;3;3;3;3;2;2;5;5;4;5;5;5;5;4;5;1;4;5;5;5;3;4;1;2;2;2;3;3;2;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;La asignatura está muy bien pensada y se aprende muchísimo más que en el modelo de prácticas tradicional.;Hemos tenido poco tiempo, hemos echado en falta al menos un día más para realizar la presentación y para puestas en común semanales.;
5 : Flies;4;2;4;2;4;5;3;3;3;3;2;5;5;4;5;4;4;5;3;5;1;5;5;3;3;5;4;1;2;2;2;2;3;1;5;5;5;5;5;0;5;5;2;5;5;5;4;3;5;Hemos aprendido a tomar las riendas de nuestro trabajo en lugar de seguir instrucciones como veníamos haciendo hasta ahora.;Algún día demasiadas horas.;
5 : Flies;5;4;3;1;4;2;3;3;3;3;2;5;5;1;5;1;1;1;1;1;3;3;5;5;4;5;3;1;1;2;2;2;2;1;3;4;0;0;2;2;4;4;4;4;5;4;3;4;5;;;
5 : Flies;5;1;5;1;5;5;3;3;3;2;2;5;5;5;5;3;4;5;3;4;4;5;5;5;5;5;5;2;2;2;3;3;3;2;3;4;5;5;4;0;5;5;5;5;5;5;5;5;5;"- Libertad del estudiante para elegir los experimentos haciéndolos más interesantes.- Flexibilidad a lo largo de todas las prácticas tomando decisiones constantes, lo que hace el proceso más orgánico.&nbsp;- Gran repertorio de experimentos que podemos hac";#¿NOMBRE?;"En general me parece una buena iniciativa y creo debería haber algo de feedback con cantoblanco para tratar de aplicar el modelo en las prácticas del resto de asignaturas.&nbsp;"
5 : Flies;4;1;3;2;4;5;3;3;3;3;2;4;5;4;5;3;3;4;2;5;3;2;4;5;5;5;1;1;1;2;2;3;3;2;2;4;5;5;0;1;4;4;2;4;4;4;3;2;5;Trabajo en equipo. Muy buen ambiente con los compañeros, profesores y ayudantes del doctorado. Siempre había prioridad porque aprendiéramos y entendiéramos. Se nos daba importancia y se nos escuchaba. Muy satisfecho con los profesores!;A veces no se distribuía bien el tiempo para hacer cada cosa.;
5 : Flies;4;5;5;1;3;5;3;3;3;3;2;4;4;4;5;5;4;3;5;5;2;4;5;5;5;1;2;2;2;2;3;2;3;1;4;3;4;4;4;1;3;4;3;5;5;3;4;5;5;;;
5 : Flies;4;1;5;1;5;5;3;3;3;2;2;5;5;5;5;1;5;5;3;5;3;5;5;5;5;5;3;1;2;2;3;3;3;1;3;5;5;5;3;3;5;5;5;5;5;5;5;5;5;"Sandra y María &nbsp;Modesto y Juan&nbsp;";;
5 : Flies;5;4;3;1;4;4;3;3;3;3;1;5;5;4;5;4;5;5;3;5;5;5;5;5;5;5;5;2;2;3;3;3;2;2;0;4;3;3;3;2;4;3;3;4;4;5;4;5;5;Más libertad para diseñar el proyecto;Insuficiente tiempo para preparar la presentación;
4 : Yeast;4;3;4;1;4;5;3;3;3;3;2;5;4;5;3;3;3;3;2;4;3;3;5;4;4;5;4;1;2;2;2;1;2;2;0;3;4;5;5;2;4;5;3;4;4;4;2;4;4;;;
4 : Yeast;5;1;4;1;5;1;3;3;3;2;3;5;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;1;2;3;3;3;3;3;4;4;5;4;3;0;5;4;5;5;5;4;3;5;5;"La posibilidad de plantear una hipótesis cualquiera y de diseñar los experimentos necesarios para afirmarla o rechazarla me parece muy interesante de cara a lo que supone el trabajo futuro en un laboratorio, donde debes leer bibliografia, plantear respuestas a diferentes preguntss biológicas, discutir por qué obtienes resultados negativos, etc.&nbsp;";A pesar de que el curso dura 1 mes, me parece un poco corto, aunque sea imposible prolongarlo más. Quizá tener alguna hora más al día sería bueno, aunque agotador.;Me parece que el modelo de prácticas nuevo es el adecuado para estudiantes de tercero, dado que el próximo curso deberemos erealizar un TFG. Aparte, es un modelo donde se aprende mád obteniendo resultados negativos en los experimentos que resultados positivos y un buen momento para aceptar que la frustración ante la obtención de resultados negativos puede surgir en cualquier momento. No obstante, sobreponerse a ello dilucidando por qué los resultados son negativos y diseñando otros experimentos para obtener los resultados positivos es una experiencia muy enriquecedora.
4 : Yeast;3;2;4;2;5;3;3;3;3;3;3;5;5;5;5;4;4;5;3;3;4;5;4;3;3;3;4;2;2;2;2;2;2;1;0;0;5;5;0;0;4;3;3;4;4;4;3;3;4;"Trabajo en equipo, interés, semejanza a una experiencia real en un laboratorio y no ""preparada""";Falta de un criterio común en todos los profesores a la hora de aconsejarnos en el diseño de protocolos, realización de análisis, tiempo de exposición en la última sesión, etc. Esto ha supuesto situaciones bastante caóticas y nos ha obligado a modificar nuestro protocolo un número bastante elevado de veces, lo que ha dificultado el cumplimiento de la organización prevista. Además, en un principio nos pusieron malas caras cuando planteábamos quedarnos más horas en el laboratorio trabajando, cuando nos consta que en el resto de laboratorios no han puesto nunca pegas.;
4 : Yeast;3;2;3;1;5;2;3;3;3;3;3;5;5;3;4;2;5;5;3;4;4;5;5;4;5;5;4;2;2;3;2;2;2;1;0;0;5;5;5;3;3;5;4;5;4;4;4;3;5;Independencia. Es muy positivo poder tomar decisiones sobre los experimentos, controles.Las sesiones en las que recibíamos feedback eran verdaderamente productivas.Trabajo en equipo, compañerismo.Adquidición de capacidades para el diseño de experimentos. No es lo mismo plantearlo desde 0.La cercanía con las profesoras.;Acelerar el proceso de diseño de los protocolos en los primeros días para poder comenzar antes la parte experimental.En ocasiones es necesario tener una ventana de tiempo superior a 4 horas para poder realizar los experimentos.Establecer unos protocolos más definidos, de manera que no haya incongruencias entre los datos proporcionados.;
4 : Yeast;3;1;3;1;5;2;3;3;3;3;3;4;5;5;5;3;5;5;3;4;4;5;4;5;5;5;5;1;3;3;3;3;2;2;0;5;5;5;5;0;4;5;4;5;5;5;3;5;5;Trabajo en equipo, independencia, conocer a otra gente, capacidad de diseño de experimentos y análisis.;"Deberían dejarnos una ventana de tiempo más amplia&nbsp; por día para organizar los experimentos (hay cosas que en 4 h no se pueden hacer).&nbsp;Acelerar el proceso de diseño de los protocolos en los primeros días de practicas para poder comenzar antes con la parte practica.Falta de un criterio común en todos los profesores a la hora de aconsejarnos en el diseño de protocolos, el análisis, la presentación de los resultados en el cuaderno, tiempo por grupo en la presentación final. Esto ha sido un poco caótico, además de que se ha notado gran subjetivismo en estos aspectos evaluables.";
4 : Yeast;3;3;4;1;5;3;3;3;3;2;3;5;5;5;5;3;3;3;3;3;5;5;5;5;5;5;5;1;1;2;2;3;3;3;4;4;4;4;4;0;5;4;4;5;4;4;4;4;5;"El aspecto más positivo que destacaría de estas prácticas sería básicamente el ""choque con la realidad"" que nos hemos llevado todos al darnos cuenta del largo y difícil proceso de elaboración de una pregunta, hipótesis, y al mismo tiempo, la organización en cuestiones de tiempo y material para llevar a cabo un abordaje experimental. Es como que por fin contamos con una aplicación práctica de todo lo que hemos visto en la carrera.&nbsp;";"Este aspecto se relaciona con el anterior. Creo que la finalidad de estas prácticas es brindarnos a nosotros estudiantes de cierta autonomía entre otras cuestioens. Sin embargo, en algunas ocasiones tanto yo como el resto de mi grupo nos sentimos perdidos y como que necesitábamos que nos encaminasen más, algo que no siempre fue del todo fácil.&nbsp;Es cierto que tenemos que hacerlo todo nosotros, pensar, desarrollar la experimentación y llevarla a cabo. Sin embargo, no dejamos de ser estudiantes, y por ende, hubiese agradecido algo más de organización en algunos momentos (sobretodo en los últimos días, que no se sabía cuánto tiempo había que hablar, el orden de las presentaciones, etc).&nbsp;";"En general, felicitar a todo el equipo de profesoras y profesores encargados de organizar estas prácticas. Realmente, no creo que mienta al afirmar que esta ha sido la aproximación más directa y cercana a la realidad que nos espera cuando salgamos de aquí. Ha sido un verdadero placer disfrutar de esta asignatura de la forma en la que se ha desarrollado.&nbsp;Es necesario que existan sesiones prácticas, pero prácticas de verdad;&nbsp;y con esto no me refiero a seminarios o ejercicios de moodle, sino a sesiones con las que conseguir un mayor rodaje en el laboratorio, experiencia y ganancia de confianza en nosotros mismos.&nbsp;"
4 : Yeast;5;4;5;2;4;2;3;3;3;3;3;5;5;5;4;5;3;4;3;3;3;4;5;5;4;5;5;2;2;2;3;3;2;2;5;4;5;5;4;4;5;5;4;5;5;5;4;5;5;;;
4 : Yeast;3;3;4;1;5;5;3;3;3;3;3;5;5;5;5;3;3;4;3;4;5;5;4;5;4;5;5;2;2;1;2;2;2;2;4;4;4;4;4;2;5;4;4;4;5;5;5;5;4;"El hecho de que sea todo abierto y te enfrentes a la investigación real. Sentir que lo que haces tiene valor y no sigues unos pasos que te han marcado sin más y podría hacer un robot.&nbsp;";"None.&nbsp;";Gracias por estas prácticas!
3 : Transcription;3;3;3;2;4;4;2;3;3;3;3;4;5;4;5;3;3;4;3;4;2;4;5;5;4;4;3;1;2;2;3;2;3;2;4;4;5;4;3;0;4;5;4;4;4;3;3;3;4;Libertad de planteamiento, los profesores solo te asesoran y te dejan volar libre, dando mas sensación de realización.;Hay veces que los profesores nos decian cosas contradictorias, entorpeciendo el trabajo;
3 : Transcription;5;4;4;1;5;4;3;3;3;3;3;5;5;5;4;3;4;5;2;5;4;4;5;3;4;5;5;2;2;2;2;3;2;2;2;0;5;4;5;0;3;4;4;5;3;5;5;2;5;"Libertad en la toma de decisiones.Integración de los&nbsp;grupos en distintos equipos.Relación cordial con los profesores.";Estrés de profesores y alumnos, cierta falta de previsión en el diseño experimental.;
3 : Transcription;4;5;4;1;3;5;3;3;3;3;3;5;5;5;5;2;5;5;2;5;3;4;5;5;5;5;5;1;2;2;2;3;2;2;3;5;5;5;5;3;5;5;5;5;3;5;5;3;5;;;
3 : Transcription;3;5;5;5;5;5;3;3;3;3;3;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;-Tener que diseñar todo el experimento desde 0 refuerza mucho el trabajo en grupo y el aprendizaje en el laboratorio;;
3 : Transcription;3;3;3;2;3;4;3;3;3;3;3;5;5;4;4;3;3;4;3;5;2;5;5;4;4;5;3;1;2;2;3;2;2;2;4;5;5;5;5;0;4;4;2;4;4;5;5;4;5;#¿NOMBRE?;"- Se presupone un manejo de las técnicas experimentales que no es real- Se pierde bastante tiempo en ""encontrar"" los reactivos&nbsp;";"Los profesores están muy ocupados, es comprensible, pero hay errores que podríamos haber evitado teniendo tiempo para revisar los protocolos previamente. Cuando esperábamos para revisar estábamos hasta muy tarde.&nbsp;"
3 : Transcription;4;4;4;2;5;5;3;3;3;3;2;5;4;5;5;3;3;5;3;5;3;3;5;5;5;4;3;1;2;2;2;2;2;2;4;4;4;4;4;2;4;4;4;5;4;4;4;3;5;Trabajar en equipo, establecer hipótesis y tener autonomía a la hora de diseñar experimentos;;
3 : Transcription;3;3;4;1;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4;1;1;2;3;3;2;2;4;5;5;5;5;0;4;4;4;4;4;5;5;5;5;- diseño de un experimento propio que supone un reto para el estudiante y por tanto motiva a pensar y a trabajar para conseguir tus objetivos- trabajo en equipo con compañeros con los que nunca habías trabajado, esto te ayuda a aprender a trabajar en equi;- No es el caso del grupo de transcripción, pero en otros grupos me han comentado que no tenían mucho tiempo de diseño experimental antes de entrar al laboratorio y la entrada en el laboratorio podía ser muy agobiante y caótica. Mientras en mi grupo, que ;
3 : Transcription;4;5;3;2;4;4;3;3;3;2;2;4;5;3;4;4;4;4;5;4;1;3;5;5;5;5;5;1;2;2;2;2;2;2;5;5;5;5;3;4;4;4;4;5;5;5;4;5;4;"Autonomía, horario flexible, feedback y cercanía con los profesores&nbsp;";No es suficientente largo el curso, no pudimos llegar a termino.;
3 : Transcription;3;4;3;2;4;4;3;3;3;3;2;4;5;5;4;4;4;4;3;3;4;4;5;5;4;4;3;2;2;2;2;2;2;2;4;4;4;4;4;0;5;4;3;5;4;4;4;4;5;;;
3 : Transcription;4;5;4;1;5;5;3;3;1;3;2;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;2;2;2;3;2;2;1;3;5;5;5;5;5;5;5;3;5;5;5;5;5;5;Además de todas las características evaluadas es importante la autonomía adquirida.;A pesar del esfuerzo creo que hemos necesitado mayor feedback de los profesroes.;
2 : Metabolism;5;4;4;1;5;4;3;3;3;3;3;5;5;3;5;3;3;4;3;4;2;2;3;4;4;5;5;1;2;3;3;3;2;2;0;5;4;0;0;0;4;4;1;4;5;4;4;4;5;Nos ha aproximado más a la dinámica de trabajo de un laboratorio, permitiéndonos ganar autonomía en la toma de decisiones;A la hora de plantear la hipótesis y el diseño inicial del experimento no disponíamos de suficiente información y desconocíamos qué abordajes experimentales íbamos a poder utilizar realmente;
2 : Metabolism;5;4;4;1;4;4;2;2;3;3;2;4;4;3;2;2;4;4;4;4;2;3;4;4;4;5;5;1;2;2;2;2;2;2;4;4;4;4;4;4;3;4;4;4;3;3;4;4;4;;;
2 : Metabolism;3;3;4;2;4;2;2;2;3;2;3;4;4;4;4;4;1;4;1;4;2;4;4;4;4;4;3;1;2;2;2;2;2;1;1;4;4;4;4;2;4;4;2;4;2;2;2;2;4;Independecia.;"Falta de tiempo.&nbsp;";"La ayuda de profesionales que están realizando el doctorado es esencial. ( Laura, Patricia )etc.&nbsp;"
2 : Metabolism;4;5;3;1;4;4;3;2;1;3;2;4;5;2;5;1;3;4;3;5;4;4;5;5;5;5;5;1;1;1;2;2;2;2;5;3;5;3;5;2;4;4;1;5;5;5;5;3;5;"Aprender a trabajar en equipo y diseñar un experimento desde el principio, así hemos adquirido másautonomía en el laboratorio.&nbsp;";"Algunos experimentos no se podían hacer por falta de material &nbsp;y tiempo.&nbsp;";
2 : Metabolism;4;4;3;2;5;5;3;3;3;3;2;5;4;3;5;4;4;5;3;4;3;4;4;4;3;4;4;1;2;2;2;3;2;2;0;3;5;5;5;0;4;4;1;4;5;4;3;4;4;Tener más libertad para pensar las cosas definitivamente ayuda a que aprendamos mejor el funcionamiento de un laboratorio. Además, hemos podido hacer cosas nuevas y el tiempo se ha empleado mucho mejor que con el modelo antiguo y ha permitido realizar muchas más técnicas y experimentos que otros años.El hecho de tener que escribir nosotros mismos el protocolo ayuda a aprender mejor cómo debe plantearse un experimento, mientras que si lo dan hecho no aprendemos a razonar debidamente todo lo que debe tenerse en cuenta.Las clases de puesta en común también me han parecido muy útiles porque al final acabamos viendo muchos experimentos y abordajes diferentes.;"A la hora de decidir el laboratorio (grupo de mosca, levadura, bioquímica, etc.) convendría que se nos explicase brevemente en qué consiste cada uno porque realmente elegimos sin saber muy bien de qué iba cada cosa.Por otro lado, los primeros días en los que había que pensar y diseñar los experimentos fueron un poco caóticos y desconocíamos qué técnicas y experimentos íbamos a poder realizar realmente. Considero que explicar brevemente y de forma general cuáles son las técnicas más adecuadas para ver determinadas cosas nos ayudaría luego al diseño de nuestro experimento. Algo así como hacer una transición más gradual desde el sistema de prácticas usado en cursos anteriores en los que nos daban todo hecho y el sistema de este curso, en el que hay mucha más libertad y aún no estamos del todo preparados para pensarlo todo de cero (de hecho se tuvieron que consultar muchas cosas a los profesores y hubo dudas recurentes).Otro aspecto negativo es que, durante la puesta en común, algunos profesores hacen preguntas a los alumnos que en muchas ocasiones no tenemos conocimiento suficiente para responder y nos ponen en un compromiso. No hay nada de malo en que nos planteen preguntas para hacernos pensar y razonar pero no es necesario incomodar a todos los alumnos a los que se pregunta.&nbsp;Finalmente el aspecto que más negativo me ha resultado sobre la asignatura ha sido la encuesta inicial para marcar los compañeros con los que NO queremos trabajar en el laboratorio (al márgen de que además y hubiese un error y los resultados fuesen públicos). Me parece que echa por tiera el objetivo de aprender a trabajar en grupo sobre el que tanto se nos insistió el primer día y que no es realista con lo que ocurre en el ámbito laboral, en el que se tiene que aprender a trabajar con personas más o menos afines. O nos dejan elegir a las personas con las que SÍ queremos trabajar o que los grupos se hagan al azar, pero el sistema actual no me parece adecuado.";Aunque aún hay cosas que pulir, el sistema actual me parece mucho mejor que el tradicional guion. En general las prácticas me han gustado mucho y considero que realmente nos han ayudado a aprender y a empezar a experimentar algo más en qué consiste de verdad el trabajo en el laboratorio.
2 : Metabolism;4;4;4;2;4;4;3;3;3;3;2;5;5;4;5;5;5;5;3;4;4;3;5;5;4;5;4;2;2;2;2;2;2;1;5;5;5;5;5;4;5;5;4;5;5;5;5;5;5;hemos aprendido a trabajar de manera más independiente en el laboratorio y a desenvolvernos con las técnicas que habíamos practicado otros años supervisadas por los profesores.;en ocasiones ha habido falta de coordinación para utilizar algunos recursos comunes en el laboratorio.;
2 : Metabolism;4;2;3;2;5;4;3;3;3;3;3;5;5;4;5;5;3;3;3;2;2;1;2;4;4;5;5;1;1;2;3;3;2;2;0;4;5;0;3;0;4;5;2;4;5;5;5;5;4;#¿NOMBRE?;;Podría ser beneficioso tener una clase antes del comienzo de las prácticas en la que se explique más concretamente los experimentos que pueden realizarse durante el transcurso de las prácticas.
2 : Metabolism;3;2;3;1;2;3;3;3;3;3;3;4;4;4;4;4;5;5;3;4;4;2;4;4;4;4;3;1;1;2;2;2;2;2;3;2;5;5;5;1;4;4;4;4;4;4;4;3;4;"Ha sido mucho más útil que las prácticas de años anteriores. Hemos tenido que pensar mucho, razonar, preguntar, informarnos y, una vez encauzado el experimento, es interesante cuestionarse el protocolo y ver que todo el informe final realmente ha sido cosa del equipo, y no de un guión ya establecido.&nbsp;";"Había solapamientos a la hora de usar la cabina de esterilidad, pues somos muchos grupos que la necesitan&nbsp;";
2 : Metabolism;3;4;5;1;5;5;3;2;3;3;3;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;2;2;2;3;3;2;2;5;5;5;5;5;0;4;4;3;4;4;4;4;3;4;"Independencia del alumno y afrontar una ""situación real"" a la hora de plantear un experimento.Alta participación de doctorandos que facilitan bastante la tarea.";Haría falta una mayor organización en la primera semana, el momento hasta que se tiene el protocolo hecho y el diseño experimental es un poco caótico.;
2 : Metabolism;3;4;5;2;5;5;3;2;3;3;2;3;4;4;5;5;5;4;5;5;2;3;5;5;5;4;1;1;2;3;3;3;2;1;5;4;5;5;5;2;3;4;4;4;5;5;5;5;5;La independencia que nos dan y el trabajo en equipo;No es posible realizar todos los experimentos que se nos ocurren;
2 : Metabolism;5;1;3;1;5;5;3;3;3;3;1;5;5;5;5;5;5;5;5;5;3;1;3;3;2;4;3;2;1;2;2;2;2;1;5;5;5;5;5;1;4;4;4;5;5;5;4;5;5;;;
2 : Metabolism;4;4;3;1;4;5;3;3;3;3;3;5;5;5;5;5;5;5;5;5;1;1;3;5;5;3;3;1;1;3;3;3;1;1;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;Ha sido muy interesante y hemos aprendido a desenvolvernos muy bien.;Había mucha descoordinación entre profesores. Dependiendo de a cuál preguntases respondía una cosa u otra, así que acabábamos incluso más confundidos. También ha sido un poco caótico el reparto de la cabina de cultivo. También faltaba a veces material.;
1 : Biochemistry;4;2;2;1;3;5;3;3;3;3;3;5;5;3;5;3;3;5;3;4;4;5;5;4;5;3;2;2;2;3;3;3;2;2;1;2;2;4;1;3;4;2;1;2;5;3;2;1;2;;;
1 : Biochemistry;4;2;4;1;5;4;3;3;3;3;2;5;5;4;5;4;4;4;3;3;1;3;4;1;1;4;5;1;1;2;2;2;2;2;1;5;5;5;0;0;5;5;4;4;5;4;2;4;5;;Hay que elegir grupo sin tener mucha información de que experimentos se suelen hacer en cada uno. El día 1 fue un poco useless;"Estaría bien tener mas tiempo al principio de las prácticas para diseñar el experimento y verificar con los profesores si hay los&nbsp; suficientes controles y replicas."
1 : Biochemistry;3;2;3;2;5;4;3;3;3;3;3;5;5;5;5;5;5;5;5;5;2;4;4;5;5;5;4;1;2;3;3;3;2;2;0;0;4;4;4;1;5;5;4;4;4;5;5;4;4;"Por primera vez en la carrera nos hemos enfrentado a una situación similar a la que nos enfrentaremos en un ámbito laboral enfocado a la investigacion.&nbsp;Nos ayuda mucho más pensar qué significado tienen los resultados de un experimento diseñado por nosotros que seguir un guión diseñado&nbsp;Las ayudantes del laboratorio de bioquímica/metabolismo se ham portado muy bien.";El formato de entrega del cuaderno no queda bien claro.;Este tipo de prácticas debería ser implementado en todas las asignaturas experimentales de la carrera
1 : Biochemistry;3;4;4;1;3;3;3;3;3;3;3;4;4;5;3;3;2;2;5;5;4;3;4;5;5;3;1;2;2;2;2;2;2;1;4;3;3;3;3;1;4;4;3;5;5;5;3;3;3;#¿NOMBRE?;"- Poco tiempo para los proyectos- La puesta en común de todos los grupos&nbsp;";
1 : Biochemistry;4;4;3;1;3;4;3;2;3;3;2;4;4;5;3;4;4;4;3;3;4;3;2;4;4;5;2;2;2;1;1;3;2;1;3;5;4;5;2;2;4;5;4;3;4;5;5;4;4;;;
