Respuesta;Enviado el:;Institución;Departamento;Curso;Grupo;ID;Nombre completo;Nombre de usuario;Completado;Q00_Group;Q00_equipment->We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...);Q00_equipment->Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting;Q00_equipment->Lab equipment was well mantained/modern;Q00_Length and schedule->The course is too long;Q00_Length and schedule->The period allocated for the course within the term is appropriate;Q00_Length and schedule->On average, the number of hours per day is sufficient;Q00_General methodology->student engagement;Q00_General methodology->course interest;Q00_General methodology->course usefulness;Q00_General methodology->demand on student's part;Q00_General methodology->course difficulty;Q00_method_objectives->State a hypothesis;Q00_method_objectives->Design an experimental strategy to answer specific biological questions;Q00_method_objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q00_method_objectives->Write an experimental protocol including all relevant controls;Q00_method_objectives->Execute an experimental protocol;Q00_method_objectives->Record, analyze and interpret experimental results;Q00_method_objectives->Integrate information from other researchers and discuss your results within a larger context;Q00_method_objectives->Follow lab safety rules;Q00_method_objectives->Ability to work in a team;Q00_Activities interest->Introductory lecture (day 1);Q00_Activities interest->Stats Intro (day 2);Q00_Activities interest->Initial brainstorming session (day 2);Q00_Activities interest->Group meetings (experiment planning and design);Q00_Activities interest->Team feed-back session (propossal design);Q00_Activities interest->Final group discussion session (day before the last);Q00_Activities interest->Final class discussion session (last day);Q00_activities length->Introductory lecture (day 1);Q00_activities length->Stats Intro (day 2);Q00_activities length->Initial brainstorming session (day 2);Q00_activities length->Group meetings (experiment planning and design);Q00_activities length->Team feed-back sessions;Q00_activities length->Final group discussion session (day before the last);Q00_activities length->Final class discussion session (last day);Q01_Assessment Items 1->Safety and clean-up weekly evaluation;Q01_Assessment Items 1->Individual lab notebook evaluation (design);Q01_Assessment Items 1->Group lab notebook evaluation (design);Q01_Assessment Items 1->Group lab notebook evaluation (results);Q01_Assessment Items 1->Peer-evaluation (Team);Q01_Assessment Items 1->Final exam;Q02_Learning Objectives->State a hypothesis;Q02_Learning Objectives->Design an experimental strategy to answer specific biological questions;Q02_Learning Objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q02_Learning Objectives->Write an experimental protocol including all relevant controls;Q02_Learning Objectives->Execute an experimental protocol;Q02_Learning Objectives->Record, analyze and interpret experimental results;Q02_Learning Objectives->Integrate information from other researchers and discuss your results within a larger context;Q02_Learning Objectives->Follow lab safety rules;Q02_Learning Objectives->Ability to work in a team;Q03_Best;Q04_Worst;Q05_final_Open;Q06_On the Electronic Note Book->-I knew OneNote before the course.;Q06_On the Electronic Note Book->-I find OneNote a useful app for the elaboration of the course Notebook.;Q06_On the Electronic Note Book->-I think we had enough previous information about the use of OneNote for the course laboratory notebook.;Q06_On the Electronic Note Book->-I would prefer other applications like Evernote, Google Docs, or MS Word.;Q06_On the Electronic Note Book->-The structure of the Notebook in Sections, Pages, and Subpages was easy to understand and use.;Q06_On the Electronic Note Book->-I would recommend to use OneNote for the ELN next year.;Q07_On the Electronic Note Book->-It overall allowed us to save time through the whole course.;Q07_On the Electronic Note Book->-It helped us in the preparation of the final version to be presented.;Q07_On the Electronic Note Book->-It made it easier working in groups.;Q07_On the Electronic Note Book->-It could be useful for other practical courses.;Q08_On the Electronic Note Book->-Synchronization issues hindered our team-working.;Q08_On the Electronic Note Book->-Conflicts of versions were very frequent.;Q08_On the Electronic Note Book->-Access to the ELN was slow.;Q08_On the Electronic Note Book->-We missed several word-processing features.;Q08_On the Electronic Note Book->-Some features of the application did not work properly.;Q09_On the Electronic Note Book->-The template helped us to prepare the final version of the notebook.;Q09_On the Electronic Note Book->-The structure of the template matches the evaluation rubric.;Q09_On the Electronic Note Book->-The structure of 4 independent notes helped to understand each step of the work in a research lab.;Q09_On the Electronic Note Book->-The word limit in some sections of the template is appropriate (1;Q09_On the Electronic Note Book->-We had to modify some sections of the template to suit our experimental work.;Q09_On the Electronic Note Book->-The template will facilitate an even evaluation.;Q09_On the Electronic Note Book->-The use of an ELN with OneNote in this course will help us in future laboratory work (TFG, TFM, etc.).;Q10_final_Open On the ELN;Q11_Project desing teams session;Q12
134034;20/12/2022 11:52:03;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo1;;y;5 : Flies;5;3;4;1;5;3;3;3;3;3;2;4;4;4;5;3;5;4;3;5;4;5;4;5;2;5;5;2;2;2;2;1;2;2;3;5;5;3;5;2;3;4;4;4;3;4;4;2;5;Permite que los alumnos se impliquen mucho más en la asignatura e integrar mucho mejor los conocimientos teóricos como resultado de la experiencia ;Las puestas en común de las propuestas de cada rama y equipo no fueron lo suficientemente orientadas a evaluar el diseño experimental;Hubiera sido bueno tener más tiempo para pensar qué preguntas se quieren responder;3;4;5;2;5;5;5;3;5;3;5;5;2;3;1;5;3;5;1;3;4;5;Poder ver el trabajo de otras ramas me ha parecido muy útil a la hora de entender nuestros resultados ;Es útil aprender a plantear hipótesis que puedan responderse de forma empírica ;No se discuten los diseños experimentales ni sus posibles mejoras, creo que sería una adición muy útil para futuros cursos
134049;20/12/2022 11:56:25;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo2;;y;5 : Flies;1;2;2;1;4;2;3;3;3;3;3;3;4;3;4;4;4;4;4;5;1;3;4;4;2;4;5;1;1;2;2;2;2;2;5;4;4;3;4;2;2;4;3;3;5;5;4;5;5;El grupo ha ayudado a que el clima en el laboratorio fuese agradable. Ha sido muy fácil trabajar porque teníamos autonomía pero a su vez siempre había alguien dispuesto a ayudar (colaboradores y profesores, de moscas). Hemos conocido la experiencia del laboratorio de manera completa con todo lo que eso implica. Y era una propuesta muy interesante que animaba a poner de nuestra parte para aprender.;La clase de mostrar las hipótesis al resto de grupos se basó en la corrección de errores semánticos en lugar de ayudar a los compañeros a mirar desde otro punto los experimentos. Se debería haber centrado más en algo general y que los compañeros hubiesen propuesto diferentes cosas a mejorar experimentalmente. Creo que no fue nada enriquecedor para nadie.;;1;5;1;1;4;4;4;4;5;5;1;1;1;1;1;4;4;4;2;2;4;4;;Fue muy interesante juntarnos todo el grupo para ver qué hacer ya que todos teníamos algo que aportar. Diferentes opiniones ayudaron a crear la línea general de nuestra rama y nos ayudó a que todos fuéramos conscientes de lo que teníamos que hacer.;
134051;20/12/2022 11:55:42;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo3;;y;5 : Flies;2;5;3;2;5;1;3;3;3;3;2;5;5;5;5;3;5;5;2;5;2;3;5;5;5;5;5;1;1;2;2;2;2;2;5;5;5;5;5;3;4;5;2;5;5;5;5;4;5;Aprendizaje y libertad;Falta de tiempo y separación entre grupos;;1;5;4;1;5;5;5;5;5;5;1;1;1;1;1;5;5;5;3;5;5;5;;;
134029;20/12/2022 11:49:08;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo4;;y;2 : Metabolism;4;2;3;3;5;4;3;2;3;3;3;5;5;3;5;5;5;4;3;4;1;1;4;4;5;3;5;1;1;1;3;2;2;3;4;5;4;4;-1;1;4;5;3;5;5;5;3;2;3;Aprendemos a pensar en controles, cuando antes casi no nos preocupábamos por ello. Pensar en diferentes técnicas para obtener los resultados y como analizarlos;Me parece que sobra tiempo. Las sesiones conjuntas del principio aportan muy poca información, podría ser para orientarnos un poco más, porque iniciamos muy agobiados y sin entender por dónde empezar ;;3;4;1;1;2;5;5;5;5;5;2;2;1;1;1;3;4;4;1;3;3;3;Podemos usarlo todos a la vez. Esta muy bien organizado. Puedes ver lo que hacen lo demás, por si en algún momento estás un poco perdido puedes orientarte de cierta manera. ;Esta muy bien ;Nada 
134040;20/12/2022 11:53:22;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo5;;y;3 : Transcription;3;3;4;1;2;3;3;3;3;2;2;5;5;5;5;3;5;4;3;5;5;5;3;4;5;5;5;2;2;1;2;2;2;2;5;4;4;4;4;-1;4;4;3;4;4;3;2;4;5;El curso ha sido muy dinámico y acerca a la investigación en la vida real.;Como todo en investigación, la planificación es muy aburrida pero es muy importante para seguir un timeline y ayuda de cara al planteamiento de hipótesis y el diseño experimental.;;3;3;2;3;4;4;4;3;5;3;3;1;4;4;3;3;3;3;3;2;4;4;Hubo un momento que no nos dejaba deshacer una acción y gracias a que no se sincronizó el cuaderno no perdimos mucho trabajo avanzado porque dimos sin querer a eliminar una sección.;El hecho de que ONE NOTE sea multiplataforma facilita la conexión y se pueden modificar aspectos del cuaderno sin conexión a internet, lo cual viene perfecto a los estudiantes que tienen poco acceso a internet a lo largo del día, como los que viven lejos y pueden adelantar tarea en el transporte publico.;A veces tardaba en sincronizarse.
134014;20/12/2022 11:23:58;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo6;;y;4 : Yeast;4;2;3;1;4;4;3;3;3;3;3;5;5;5;4;2;3;5;2;5;3;5;3;3;5;3;5;3;2;3;2;2;2;2;4;4;2;2;4;3;5;3;4;3;3;3;4;2;4;Se fomenta el trabajo independiente y se tienen en cuenta las ideas de los alumnos, poniendo como única limitación las restricciones de coste y tiempo. ;A veces bastante frustrante, sobre todo pienso que dificulta bastante cuando los tutores tienen diferentes opiniones, porque en ocasiones ha implicado empezar un experimento para luego descartarlo por completo. ;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;Mi rama no ha utilizado OneNote para la actualización diaria del cuaderno del laboratorio. ;Fomentan la discusión científica: crítica constructiva entre ramas que trabajan desde perspectivas diferentes. Muy interesante. ;
134056;20/12/2022 12:02:13;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo7;;y;2 : Metabolism;4;4;5;2;4;5;3;3;3;3;3;5;5;5;5;5;5;5;3;5;5;5;5;5;4;5;5;3;3;2;2;2;2;3;4;3;4;5;3;3;3;4;3;4;4;4;2;3;4;;;;5;5;3;2;5;5;4;4;5;5;4;4;3;3;2;4;4;3;3;3;3;4;;;
134041;20/12/2022 11:52:51;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo8;;y;3 : Transcription;4;3;5;1;4;4;3;3;3;3;1;5;5;5;4;4;5;5;3;5;4;4;5;4;4;5;4;2;2;3;2;2;3;2;5;4;5;5;4;3;3;3;4;2;3;3;4;2;5;El trabajo en equipo y el sentimiento de que el proyecto en el que estás trabajando es de tu grupo. Ese sentimiento de pertenencia lo hace especial.;Probablemente que no tengamos más tiempo ;;5;4;3;1;5;5;4;2;5;5;3;1;2;1;3;4;4;3;3;3;4;5;Principal problema es que si eliminas algo no se puede recuperar, podrías volver a una versión antigua pero eso afectaría a los demás grupos.;Que como todos los grupos trabajamos con la misma ruta, era mucho más sencillo analizar los resultados obtenidos.;Nada en especial
134017;20/12/2022 11:53:27;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo9;;y;4 : Yeast;3;2;3;1;5;5;3;3;3;3;3;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;3;3;3;3;5;5;5;5;2;5;5;5;5;1;5;5;5;5;Este proyecto permite a los estudiantes desarrollar la capacidad de llevar a cabo una investigación. Desde elaborar la hipótesis hasta desarrollar los protocolos necesarios para comprobar esta. Lo más útil ha sido a la hora de interpretar los datos y tener que resolver problemas. Muchos de los experimentos mostraban resultados inesperados que han ayudado a entrenar nuestra capacidad crítica de analizar datos y la capacidad de resolución de problemas para proponer soluciones. ;El principal problema que se ha presentado es la no coordinación de los profesores, entre grupos (moscas, transcripción...) y dentro de estos mismos. Esto ha derivado en una confusión y frustración generalizada de los estudiantes. Para siguientes años se sugeriría una mayor homogeneización de ideas entre los profesores. ;Gracias a esta asignatura se han podido aplicar muchos de los conceptos aprendidos durante estos años. Por primera vez hemos sentido que trabajabamos más en un grupo y enfocado hacia la investigación. Mi sugerencia es empezar aplicar este modelo de trabajo en más asignaturas.;3;5;5;1;5;5;3;4;5;5;1;1;1;1;1;4;5;3;3;5;5;5;La aplicación era fácil de usar y los templates para cada una de las partes eran fáciles de seguir. Sin embargo, la diferencia entre qué contenido tenía que ir en cada sección no era clara.;Permitía evaluar los resultados obtenidos y los siguientes pasos a seguir. ;Muchas veces no se llegaba a hablar sobre los datos de todos los grupos y algunos se quedaban algo perdidos. Algunas de las reuniones se hacían poco dinámicas y parecían algo estancadas. 
134054;20/12/2022 12:02:58;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo10;;y;5 : Flies;2;3;3;1;4;5;3;3;3;3;3;5;5;4;5;5;4;5;3;5;1;2;5;5;1;5;4;1;1;2;2;1;2;2;2;5;5;3;1;2;5;5;3;5;5;5;5;2;5;Me ha parecido muy útil el planteamiento de realizar todo nosotros ya que se asemeja más a lo que viviremos en un futuro si nos dedicamos a la investigación. Además el trabajo en equipo me ha parecido muy enriquecedor, y el hecho de que el cuaderno de laboratorio sea lo que más cuente para la nota final me parece lo lógico a diferencia de otros años. Juan y Modesto (los profes de moscas) han sido unos profesores fantásticos y trabajar bajo su supervisión y aprender de ellos me ha encantado. ¡Seguid así! :);Los reactivos en algunos casos no eran de buena calidad, lo cual ha dificultado el desarrollo de los experimentos y la obtención de resultados. La clase de puesta en común de hipótesis me pareció que no aportaba gran cosa y que podría sacarse mucho más partido de ella si estuviera dedicada a exponer los experimentos que se pretenden realizar y plantear mejoras respecto a los diseños experimentales en lugar de respecto a la redacción de las hipótesis.;;5;4;5;3;5;4;3;4;4;4;4;5;1;4;1;5;4;5;3;1;5;4;;Fueron muy útiles para saber de qué materiales y reactivos disponíamos y para ayudarnos a estructurar nuestra forma de pensar a la hora de diseñar experimentos e interpretar posibles resultados.;En mi opinión no hay aspectos negativos a destacar.
