"","Curso","Q50","Q51","Q52","Q75","Q76","Q77"
"1",2017,"","The organization of the course has been very poor in terms of evaluation. Nobody knew what had to be handed in, what aspects were going to be evaluated, how they were going to be evaluated....","",NA,NA,NA
"2",2017,"","","",NA,NA,NA
"3",2017,"","","",NA,NA,NA
"4",2017,"We have performed important new tasks in routine laboratory work for the first time such as hypothesis testing and protocol design.","Lack of materials and, at the beginning, some disorganization","",NA,NA,NA
"5",2017,"","","",NA,NA,NA
"6",2017,"","","",NA,NA,NA
"7",2017,"Learning to work with different model organizations","Lack of coordination between groups and different delivery requirements. Lack of clarity at the beginning in the explanation of how the practices will be.","",NA,NA,NA
"8",2017,"","","",NA,NA,NA
"9",2017,"It is the first time we are able to create and develope a full experiment. I think we have learn more this way than others.","There should not be a final exam. Grade should be established by the protocol and the lab work. I found rather difficult to study, regarding how the assignature was taught.","",NA,NA,NA
"10",2017,"To be able to think your experiment and to know realemtne what you are doing and what you can do and what you can't do in the lab by yourself&nbsp; being of great help in the face of the TFG. To know the use of bioinformatics programs that are used in a relative and constant way in the real work that we do not usually touch in the degree and the way in which it should be presented.","Lack of equipment or outdated equipment that makes it difficult to obtain results. Lack of time to really get to know in depth what affects our experiments when they don't come out. The need for more coordination and knowledge on the part of the fellows and the faculty as a whole of what we are doing in each experiment.","",NA,NA,NA
"11",2017,"It enhances our probability of reaching fundamental competences that will be surely necessary in our future investigation jobs.","The time we must use to fulfill our objectives in the end of the lab classes is poorly represented in the general timetable.","",NA,NA,NA
"12",2017,"","","",NA,NA,NA
"13",2017,"Very interesting and educational, because they let you be a ""real researcher"" for a few weeks.","The lack of involvement of some teachers","",NA,NA,NA
"14",2017,"It is good to design the experiment from the beginning, as we have never carried it out during the race before.","Some chaos when putting into practice all the experiments that we had previously designed in a theoretical way and organization of experiments;","",NA,NA,NA
"15",2017,"We have learned in a completely different way, thinking for ourselves and knowing the why and wherefore of the different steps.","Mainly the lack of organization in the first days, nobody knew what to do because each teacher said something different, also the lack of compliance with the schedule has affected too much, these last weeks are very important for students to start studying for final exams (taking into account that at Christmas there are only two weeks), and being in practice morning and afternoon does not contribute to it;","The overall balance has been positive because we have learned a lot, but this new method of teaching needs to be polished so that the students are not saturated and there are not so many dead hours.",NA,NA,NA
"16",2017,"It has allowed us to develop our own ideas and learn to work as a team. It has also allowed us to be aware and responsible for every step we took in the lab. In general, it has allowed us to acquire more knowledge and experience than a traditional internship.","Too many hours in the lab compared to those specified in the teaching guide (and unequal between groups) and that have altered our work schedule at home. There should have been more coordination between teachers, especially when it came to transmitting to us what we should include in the protocols and lab reports.","I believe that this practice model should be continued but that there are many things to improve.",NA,NA,NA
"17",2017,"Learn how to develop an experiment","Lack of time&nbsp;","",NA,NA,NA
"18",2017,"A project is carried out as if you were in the laboratory Rojo's help has been very good.","The equipment is insufficient and outdated","We would need enough material for all the students to be able to carry out the experiments fairly well.",NA,NA,NA
"19",2017,"They serve to bring you closer to the life of the laboratory","More individual meetings with each group are needed.","The first day of work in the laboratory should be dedicated to learn how to work with the chosen model organism and the following days the protocols should be started. It would also be good to make a common protocol with the whole group to have an idea of how they are done.",NA,NA,NA
"20",2017,"It has been the most useful internship so far in our degree. I think that the strategy followed for these practices has been very good, it has allowed us to understand why and for what we do things well, as well as to interpret all kinds of results. The help of the teachers has been excellent (Juan in my case), guiding us but allowing us to reach the conclusions ourselves;","Lack of agarose gel cuvettes and better organization of time","",NA,NA,NA
"21",2017,"A different vision of the practices that we had been doing during these 3 years of career.","-The lack of organization in terms of the distribution of work, the limited availability of instruments in the laboratory, which conditioned and limited the progress of the designed experiments, and the short time given for the delivery of protocols, especially during the first week;","-the trainees must agree on the time to solve the doubts because many of them told you the opposite to another previously.&nbsp;-organize beforehand the experiments and see if it is really possible to carry them out in the laboratory conditions, depending on the number of students, the space available and the time required for each experiment.",NA,NA,NA
"22",2017,"Learning about bioinformatics, more independence in the lab, decision making skills, organizational skills;","The material is insufficient, especially the laminar flow cabinets, the predoc support students were lost, at the beginning there was not much coordination among the professors.","The most important thing for me is that there is coordination from the first moment of the teachers. The students arrive at the laboratory quite lost, and at the beginning they should guide the groups more and act in a more coordinated way.",NA,NA,NA
"23",2017,"It is the first time in the whole career that a practical subject is really practical. I think it makes the most sense to hand in the protocols as a group. Doing individual deliveries in practical laboratory courses working in a group makes no sense at all.&nbsp;","-","Más tiempo para preparar las:Final group discussion session (day before the last)&nbsp;opción 1Choice 1 for row 7opción 2Choice 2 for row 7opción 3Choice 3 for row 7Final class discussion session (last day)&nbsp;",NA,NA,NA
"24",2017,"-At some point we had to start from scratch and set up the experiments ourselves in order to obtain a specific objective; the teachers of the transcription group have put a lot of emphasis on me learning and understanding why to use one technique or another, what for, how to analyze the results.","-The final exam will not provide an acquisition of knowledge similar to that obtained in the laboratory and different discussion sessions. It may even be detrimental, but it remains to be seen - The practical part should have more weight in the final grade - It is not necessary to evaluate everything and so from the beginning. If you want us to face certain circumstances on our own, there must be room for learning.","",NA,NA,NA
"25",2017,"Design the experiments ourselves and know which controls to use in each experiment.","The feedback was quite poor, and we were not aware of how to do the protocol until a week before handing it in, making us change the whole planning, and often there was not enough staff (teachers) to answer questions and that delayed the progress of the experiment. Many times there was not enough staff (teachers) to be able to answer the questions and that delayed a lot the progress of the experiment.The grouping by teams in a random way greatly harms if one of the members does all the work and the other almost does not contribute; since the note is distributed.&nbsp;","Better organization. Be more organized and know well what will be done in each moment.There is more feedback from teachers.Let choose the coworkers, not for ""favoritism"" but because we know who really works in the laboratory.&nbsp;",NA,NA,NA
"26",2017,"We have learned more than in previous internships that were limited to following a protocol. With this internship model, you become more involved in your work and learn how to follow protocols and overcome problems that arise.","Some more time to carry out the experiments without haste and to obtain more conclusive results. As for the materials, there was only one bell per laboratory (more than 5 groups) and because of this, we had problems of scheduling and coordination&nbsp;","",NA,NA,NA
"27",2017,"An innovative approach in the practices, in my opinion much more useful for our future work, because we experience first hand how a laboratory and a research team works, allowing us to integrate data from different groups and encouraging us to think for ourselves how to solve problems.","Being the first year with this approach, there was initially a bit of chaos in the organization, and we received several times different information, although it was later clarified.","For the following year it would be good to have a better premeditated organization that would allow students to perform more experiments and cover more different approaches that allow for more learning.",NA,NA,NA
"28",2017,"The ability to think for ourselves the purpose of the experiments, that although it has been necessary to do them a first time in the practices of 1 and 2 because it was our first contact with many techniques, just to do them again without thinking in 3 would be ridiculous so I think the change of practices was necessary.another positive aspect has been the freedom to do things without being so over us as if we were children, there have been some big failures but I think that also learns and we have to stumble to learn.","We know that in a laboratory you know when you enter but not when you leave, however I think that the hours indicated in the timetable and the credits assigned to the subject are not real, it would be equivalent to at least 6 hours a day minimum and not 4 The disorganization that was noticeable in the teachers at the beginning, although then it has improved and I understand that it is the first time that this type of practice is done, at the beginning we were as lost students as teachers on where to go.","I think it was a necessary change and being in 3 is something that should have been done earlier.",NA,NA,NA
"29",2017,"This different approach is a good idea because it allows students to become more involved in the experiment, to be interested in it and to look for additional information. In addition, the fact that each group performs different experiments allows the sharing of information to be more enriching and to study several points of view of the same problem, something that cannot be done by all doing the same experiment;","Being the first course in which this approach is carried out, we noticed a slight lack of control when organizing the activities, sometimes the teachers did not agree and we received different information. We would also have liked to be able to carry out the whole second experiment and to have more freedom in choosing when to do each experiment because with the first one we had to stick to the schedules provided by the teachers and the days indicated by them;","",NA,NA,NA
"30",2017,"-Learning to hypothesize and conduct experiments based on that hypothesis in an efficient and critical way, not simply following a protocol.","- The mess there was at the beginning around the elaboration of the protocol.","The internships have been very good and the involvement of the teachers is appreciated. Of course much better than the traditional internships in all aspects. The only thing missing would be to organize them a little more (dates of deliveries, lab meetings, that teachers agree on what we have to deliver or have prepared for the following days ...), but surely next year this aspect will improve a lot, as I think it is due to the lack of experience in this new model of practices. In general, thank you for having applied this internship model and not the traditional one, I hope it will continue like this in the next years;",NA,NA,NA
"31",2017,"Critical thinking, reasoning and teamwork have been strongly encouraged. We have come very close to a real work situation in the laboratory and as the practices developed we have seen ourselves looser and with the ability to make autonomous decisions.","Little emphasis has been placed on the protocols and why each step was done, it has been necessary to explain more concepts and theory in this senseWe understand that it is the first year that this has been done, but it has lacked a little more organization and planning to optimize the working hours in the laboratory.","",NA,NA,NA
"32",2017,"Learning to think for ourselves in a laboratory.learning to face a problem, to pose a hypothesis, to consider the possible results and the possible errors that have prevented its correct realization.teamwork that provided us with continuous feedback both within our group and with the other groups.","Number of hours in the practice laboratory.","I think it is a great idea to carry out this subject in this way, until now it was always to follow an established protocol and not to think by ourselves a hypothesis and possible experiments, it seems to me that this is the way in which we have to approach the experimental ones because we learn to manage by ourselves in a laboratory.",NA,NA,NA
"33",2017,"It is innovative and breaks with the schemes of traditional practices, bringing us closer to the laboratory work in a more realistic way in order to carry out the end-of-degree work, and also allowing us to achieve greater independence in the realization of our work;","Lack of organization among professors, frequent contradictory information in relation to the experiments, lack of anticipation in the correction of protocols that were already being carried out before their own correction, scarce time for the completion of the protocol, excess of hours needed to perform many of the experiments that meant exceeding by far the number of hours required to carry them out, problems with the reservation of the booths (insufficient number for the demand of groups that forced them to come even before the start time of the practices).&nbsp;","There is an imbalance in terms of the workload that falls on each teacher. They should all be able to solve the doubts that arise in the practices, but the reality is that this is not the case. You should also be able to choose the members of your internship group;",NA,NA,NA
"34",2017,"It allows you to gain autonomy. It implies that you have to be very clear about what you are going to do to organize the day and what you need. It involves acquiring and developing self-criticism skills, as well as having to deduce the possible failures of the experiments.in addition, we managed to collect a lot of information, which results in a relatively satisfactory practice.I especially HIGHLIGHT the role of Rojo, who has been a fundamental support in the whole process. Excellent in explaining and in the treatment, having absolutely no complaints, but quite the opposite.","In the case of Biochemistry, I would criticize the organization, since the idea was to do two experiments that were reduced to one due to the lack of culture booths. This resulted in several groups spending several days doing very few things and also between 3, so that results in less work than other groups, causing some disappointment.","",NA,NA,NA
"35",2017,"I really liked the approach to the subject, allowing the development and independence of the students;","In general, disorganization and lack of coordination in terms of evaluation of protocols, tasks to be performed. There have been days when we have not been doing anything;","Victor Calvo should not be in the BEXAI course because he was often not in the lab, he did not know what to answer and gave ambiguous answers.",NA,NA,NA
"36",2017,"It is a new way to carry out the practices that entails much more learning, and personally I think it is much more interesting. It forces us to think more, work more and therefore to learn how to perform better in a laboratory.","Sometimes the organization was not good, and it was not clear to us what was being evaluated. Also, quite a few things in the general protocols were not correct;","The help of the scholarship holders who have been with us has been enormous. So I see that this format of help, apart from the teachers, should be maintained;",NA,NA,NA
"37",2017,"Open question model is great for learning how to formulate hyptheses, design experiments to support them, record and analyze data and draw conclusions. Overall, this approach has been fairly satisfactory.","Teachers did not reach a consensus regarding assessment of lab activities.Planning of activities is required - limitations of materials should be avoided by scheduling every group's work collectively to prevent crowding and total lack of small lab material.","Please, STATE CLEARLY what students are expected to record in their lab reports for assessment. This has been a big source of confusion.Assessment of the final lab report should have a greater impact on the final grade, given that each group carried out their own projects, and assessment based on a multiple-option test, the same for all students, is not a fair assessment method. The final exam should either be specific for each lab group, based on their overall experimental approach, or have a smaller impact on the final grade.",NA,NA,NA
"38",2017,"I consider that the most positive thing has been learning to work in groups and to distribute tasks as well as the feedback between the different groups with different experiments that allow a very useful sharing. Of course, the most useful thing is to ask questions about a specific topic and to look for all possible approaches and to be able to adapt them to our capabilities and our availability;","Some problems of clarity in terms of things to deliver, which should be clearer or distributed differently. Also lack of material in many occasions.&nbsp;Perhaps organizational problems regarding the distribution of hours. &nbsp;","I think that the schedule should be distributed differently because there are days that the time in the lab has been excessive and a little tiring but because the process requires more time;",NA,NA,NA
